district_id,district_name,division
1,Bagerhat,Khulna
2,Bandarban,Chattogram
3,Barguna,Barishal
4,Barishal,Barishal
5,Bhola,Barishal
6,Bogura,Rajshahi
7,Brahmanbaria,Chattogram
8,Chandpur,Chattogram
9,Chapai Nawabganj,Rajshahi
10,Chattogram,Chattogram
11,Chuadanga,Khulna
12,Cox's Bazar,Chattogram
13,Cumilla,Chattogram
14,Dhaka,Dhaka
15,Dinajpur,Rangpur
16,Faridpur,Dhaka
17,Feni,Chattogram
18,Gaibandha,Rangpur
19,Gazipur,Dhaka
20,Gopalganj,Dhaka
21,Habiganj,Sylhet
22,Jamalpur,Mymensingh
23,Jashore,Khulna
24,Jhalokati,Barishal
25,Jhenaidah,Khulna
26,Joypurhat,Rajshahi
27,Khagrachari,Chattogram
28,Khulna,Khulna
29,Kishoreganj,Dhaka
30,Kurigram,Rangpur
31,Kushtia,Khulna
32,Lakshmipur,Chattogram
33,Lalmonirhat,Rangpur
34,Madaripur,Dhaka
35,Magura,Khulna
36,Manikganj,Dhaka
37,Meherpur,Khulna
38,Moulvibazar,Sylhet
39,Munshiganj,Dhaka
40,Mymensingh,Mymensingh
41,Naogaon,Rajshahi
42,Narail,Khulna
43,Narayanganj,Dhaka
44,Narsingdi,Dhaka
45,Natore,Rajshahi
46,Netrokona,Mymensingh
47,Nilphamari,Rangpur
48,Noakhali,Chattogram
49,Pabna,Rajshahi
50,Panchagarh,Rangpur
51,Patuakhali,Barishal
52,Pirojpur,Barishal
53,Rajbari,Dhaka
54,Rajshahi,Rajshahi
55,Rangamati,Chattogram
56,Rangpur,Rangpur
57,Satkhira,Khulna
58,Shariatpur,Dhaka
59,Sherpur,Mymensingh
60,Sirajganj,Rajshahi
61,Sunamganj,Sylhet
62,Sylhet,Sylhet
63,Tangail,Dhaka
64,Thakurgaon,Rangpur
