route_id,place_id,district_id,stop_order
1,1,14,1
1,2,14,1
1,3,14,1
1,39,13,2
1,40,13,2
1,41,13,2
2,1,14,1
2,2,14,1
2,3,14,1
2,39,13,2
2,40,13,2
2,41,13,2
2,39,13,3
2,40,13,3
2,41,13,3
3,1,14,1
3,2,14,1
3,3,14,1
3,39,13,2
3,40,13,2
3,41,13,2
3,39,13,3
3,40,13,3
3,41,13,3
3,39,13,4
3,40,13,4
3,41,13,4
3,21,7,5
3,22,7,5
3,23,7,5
4,1,14,1
4,2,14,1
4,3,14,1
4,132,44,2
4,133,44,2
4,134,44,2
4,87,29,3
4,88,29,3
4,89,29,3
4,87,29,4
4,88,29,4
4,89,29,4
5,1,14,1
5,2,14,1
5,3,14,1
5,132,44,2
5,133,44,2
5,134,44,2
5,87,29,3
5,88,29,3
5,89,29,3
5,21,7,4
5,22,7,4
5,23,7,4
6,1,14,1
6,2,14,1
6,3,14,1
6,57,19,2
6,58,19,2
6,59,19,2
6,57,19,3
6,58,19,3
6,59,19,3
6,189,63,4
6,190,63,4
6,191,63,4
7,1,14,1
7,2,14,1
7,3,14,1
7,189,63,2
7,190,63,2
7,191,63,2
7,189,63,3
7,190,63,3
7,191,63,3
7,66,22,4
7,67,22,4
7,68,22,4
8,1,14,1
8,2,14,1
8,3,14,1
8,120,40,2
8,121,40,2
8,122,40,2
8,120,40,3
8,121,40,3
8,122,40,3
8,120,40,4
8,121,40,4
8,122,40,4
9,1,14,1
9,2,14,1
9,3,14,1
9,159,53,2
9,160,53,2
9,161,53,2
9,48,16,3
9,49,16,3
9,50,16,3
10,1,14,1
10,2,14,1
10,3,14,1
10,159,53,2
10,160,53,2
10,161,53,2
10,48,16,3
10,49,16,3
10,50,16,3
10,102,34,4
10,103,34,4
10,104,34,4
10,10,4,5
10,11,4,5
10,12,4,5
11,1,14,1
11,2,14,1
11,3,14,1
11,159,53,2
11,160,53,2
11,161,53,2
11,48,16,3
11,49,16,3
11,50,16,3
11,105,35,4
11,106,35,4
11,107,35,4
11,69,23,5
11,70,23,5
11,71,23,5
11,84,28,6
11,85,28,6
11,86,28,6
12,1,14,1
12,2,14,1
12,3,14,1
12,57,19,2
12,58,19,2
12,59,19,2
12,57,19,3
12,58,19,3
12,59,19,3
12,189,63,4
12,190,63,4
12,191,63,4
12,147,49,5
12,148,49,5
12,149,49,5
12,135,45,6
12,136,45,6
12,137,45,6
12,162,54,7
12,163,54,7
12,164,54,7
13,1,14,1
13,2,14,1
13,3,14,1
13,57,19,2
13,58,19,2
13,59,19,2
13,57,19,3
13,58,19,3
13,59,19,3
13,189,63,4
13,190,63,4
13,191,63,4
13,16,6,5
13,17,6,5
13,18,6,5
13,20,6,5
14,1,14,1
14,2,14,1
14,3,14,1
14,57,19,2
14,58,19,2
14,59,19,2
14,57,19,3
14,58,19,3
14,59,19,3
14,189,63,4
14,190,63,4
14,191,63,4
14,16,6,5
14,17,6,5
14,18,6,5
14,20,6,5
14,168,56,6
14,169,56,6
14,170,56,6
15,30,10,1
15,31,10,1
15,32,10,1
15,186,62,2
15,187,62,2
15,188,62,2
16,30,10,1
16,31,10,1
16,32,10,1
16,36,12,2
16,37,12,2
16,38,12,2
17,10,4,1
17,11,4,1
17,12,4,1
17,84,28,2
17,85,28,2
17,86,28,2
18,1,14,1
18,2,14,1
18,3,14,1
18,39,13,2
18,40,13,2
18,41,13,2
18,30,10,3
18,31,10,3
18,32,10,3
18,36,12,4
18,37,12,4
18,38,12,4
